TABLE_NAME,COLUMN_NAME,DATA_TYPE
accounts,ac_id,int
accounts,ac_name,varchar
accounts,ac_bal,int
attendance,stu_id,int
attendance,std_name,varchar
attendance,days_present,int
attendance,total_working_days,int
attendance,contact_no,bigint
attendance,address,varchar
bad_example,id,int
contacts,id,int
contacts,email,varchar
contacts,phone,varchar
countires,c_id,int
countires,c_name,varchar
countries_new,COUNTRY_ID,varchar
countries_new,COUNTRY_NAME,varchar
countries_new,REGION_ID,decimal
country_temp_data,COUNTRY_ID,varchar
country_temp_data,COUNTRY_NAME,varchar
country_temp_data,REGION_ID,decimal
customers,customer_id,int
customers,customer_name,varchar
customers,email,varchar
department,dept_id,int
department,dept_name,varchar
departments,DEPARTMENT_ID,decimal
departments,department_name,varchar
departments,MANAGER_ID,decimal
departments,LOCATION_ID,decimal
emp_ex,emp_id,int
emp_ex,ename,varchar
emp_ex,dept_id,int
emp_ex,emp_p,int
emp_ex1,emp_id,int
emp_ex1,ename,varchar
emp_ex1,dept_id,int
emp_ex2,ename,varchar
emp_ex2,dept_id,int
emp_ex2,emp_p,int
emp_primary,s_id,int
emp_primary,s_name,varchar
emp_primary,email,varchar
emp_tmp,emp_id,int
emp_tmp,name,varchar
emp_tmp,dept_id,int
emp_tmp,age,int
employee,emp_id,int
employee,name,varchar
employee,dept_id,int
employee,age,int
employee,salary,int
employee,check_bonus,int
employee_1,emp_id,int
employee_1,emp_name,varchar
employee_1,dep,varchar
employee_temp_table,EMPLOYEE_ID,decimal
employee_temp_table,FIRST_NAME,varchar
employee_temp_table,LAST_NAME,varchar
employee_temp_table,EMAIL,varchar
employee_temp_table,PHONE_NUMBER,varchar
employee_temp_table,HIRE_DATE,date
employee_temp_table,JOB_ID,varchar
employee_temp_table,SALARY,decimal
employee_temp_table,COMMISSION_PCT,decimal
employee_temp_table,MANAGER_ID,decimal
employee_temp_table,DEPARTMENT_ID,decimal
employees,EMPLOYEE_ID,decimal
employees,FIRST_NAME,varchar
employees,LAST_NAME,varchar
employees,salary,decimal
employees,EMAIL,varchar
employees,PHONE_NUMBER,varchar
employees,HIRE_DATE,date
employees,JOB_ID,varchar
employees,COMMISSION_PCT,decimal
employees,MANAGER_ID,decimal
employees,DEPARTMENT_ID,decimal
employees,new_column,varchar
employees,emp_status,varchar
employees,check_bonus,int
exam_results,student_id,int
exam_results,exam_id,int
exam_results,marks,int
invoices,invoice_id,int
invoices,amount,decimal
job_history,EMPLOYEE_ID,decimal
job_history,START_DATE,date
job_history,END_DATE,date
job_history,JOB_ID,varchar
job_history,DEPARTMENT_ID,decimal
jobs,JOB_ID,varchar
jobs,JOB_TITLE,varchar
jobs,MIN_SALARY,decimal
jobs,MAX_SALARY,decimal
library,book_id,int
library,branch_id,int
library,isbn,varchar
locations,country_id,varchar
locations,LOCATION_ID,decimal
locations,STREET_ADDRESS,varchar
locations,POSTAL_CODE,varchar
locations,state,varchar
locations,region_id,int
orders,order_id,int
orders,customer_id,int
orders,amount,decimal
product_inventory,product_id,int
product_inventory,product_name,varchar
product_inventory,quantity,int
regions,region_id,decimal
regions,region_name,varchar
regions,country_id,int
t_emp,salary,decimal
t_emp,increment,decimal
users,user_name,varchar
users,user_phone,int
users,email,varchar
