TABLE_NAME,COLUMN_NAME,DATA_TYPE
categories,category_id,smallint
categories,category_name,varchar
categories,description,text
categories,picture,blob
customer_customer_demo,customer_id,char
customer_customer_demo,customer_type_id,char
customer_demographics,customer_type_id,char
customer_demographics,customer_desc,text
customers,customer_id,char
customers,company_name,varchar
customers,contact_name,varchar
customers,contact_title,varchar
customers,address,varchar
customers,city,varchar
customers,region,varchar
customers,postal_code,varchar
customers,country,varchar
customers,phone,varchar
customers,fax,varchar
employee_territories,employee_id,smallint
employee_territories,territory_id,varchar
employees,employee_id,smallint
employees,last_name,varchar
employees,first_name,varchar
employees,title,varchar
employees,title_of_courtesy,varchar
employees,birth_date,date
employees,hire_date,date
employees,address,varchar
employees,city,varchar
employees,region,varchar
employees,postal_code,varchar
employees,country,varchar
employees,home_phone,varchar
employees,extension,varchar
employees,photo,blob
employees,notes,text
employees,reports_to,smallint
employees,photo_path,varchar
order_details,order_id,smallint
order_details,product_id,smallint
order_details,unit_price,float
order_details,quantity,smallint
order_details,discount,float
orders,order_id,smallint
orders,customer_id,char
orders,employee_id,smallint
orders,order_date,date
orders,required_date,date
orders,shipped_date,date
orders,ship_via,smallint
orders,freight,float
orders,ship_name,varchar
orders,ship_address,varchar
orders,ship_city,varchar
orders,ship_region,varchar
orders,ship_postal_code,varchar
orders,ship_country,varchar
products,product_id,smallint
products,product_name,varchar
products,supplier_id,smallint
products,category_id,smallint
products,quantity_per_unit,varchar
products,unit_price,float
products,units_in_stock,smallint
products,units_on_order,smallint
products,reorder_level,smallint
products,discontinued,tinyint
region,region_id,smallint
region,region_description,char
shippers,shipper_id,smallint
shippers,company_name,varchar
shippers,phone,varchar
suppliers,supplier_id,smallint
suppliers,company_name,varchar
suppliers,contact_name,varchar
suppliers,contact_title,varchar
suppliers,address,varchar
suppliers,city,varchar
suppliers,region,varchar
suppliers,postal_code,varchar
suppliers,country,varchar
suppliers,phone,varchar
suppliers,fax,varchar
suppliers,homepage,text
territories,territory_id,varchar
territories,territory_description,char
territories,region_id,smallint
us_states,state_id,smallint
us_states,state_name,varchar
us_states,state_abbr,char
us_states,state_region,varchar
